id,name,warden,phone,beds,elevation_m,latitude,longitude,website_url
37,Brunnihütte,Käthi Joller,041 637 37 32,40,1860,46.50273,8.24384,http://www.brunnihütte.ch
38,Capanna Sasc Furä CAS,Daniela Rota,+41818221252,36,1904,2.765110,1.131580,http://www.sascfura.ch
39,Glattalphütte SAC,Franziska Gwerder,+41 41 830 19 39,51,1896,46.916885,8.875034,http://www.glattalphuette.ch
40,NOT_FOUND,,,,,,,
41,Rugghubelhütte SAC,Claudia Künzli & Niklaus Stalder,+41793664369,85,2296,46.846222,8.462765,http://www.rugghubel.ch
42,Capanna Adula CAS,Raffaele Demaldi e Mirella Rizzi,+41918721532,24,2012,46.499200,8.995615,http://www.capannaadula.ch
44,Gspaltenhornhütte SAC,"Thomas Jentsch und Monika Schmidlin, Eggeltistrasse 21, BKA 125, 3993 Grengiols",+41336761629,60,2455,46.5,7.81,https://www.gspaltenhornhuette.ch
45,Windgällenhütte AACZ,Annina und Wisi Arnold-Vetter,+41418851088,55,2032,46.79,08.76,https://www.windgaellenhuette.ch/
46,Carschinahütte SAC,Sonja Lütolf & Nicola Jeggli,+41 79 418 22 80,62,2236,47.007076,9.827356,http://www.carschina.ch
47,Oberaletschhütte SAC,Sabrina Valentin,+4127 927 17 67,58,2640,46.425217,7.973875,http://www.oberaletsch.ch
48,Cabane des Violettes CAS,Reynaud Franck & Bagnoud Pierre-Olivier,+41 27 481 39 19,26,2209,46.342819,7.498651,https://www.cabanedesviolettes.ch
49,Capanna Bovarina,Alessandra Bernardi e Richard Pedditzi +41762989007,+41918721529,35,1870,46.56027,8.88841,http://www.bovarina.ch
50,Chamanna Cluozza,Nicole & Artur Naue,+41818561235,61,1882,46.662848,10.117651,https://nationalpark.ch/besuchen/unterkunft/cluozza/
51,Täschhütte SAC,"Rita Gasser, Hanspeter Schmid",+41279673913,73,2701,46.05159,7.82994,http://www.taeschhuette.ch
52,Berghaus Männdlenen,Robert Reichen,+41338534464,34,2344,46.66,07.96,https://www.berghaus-maenndlenen.ch
53,Igloo des Pantalons Blancs,Philippe Graf,+41 77 812 18 87,15,3285,46.04055,7.36853,https://www.clubalpinsion.ch/index.php/club-alpin-sion/igloo
55,Chelenalphütte SAC,Anja Zgraggen,+41 885 19 30,40,2350,46.67171,8.43984,https://www.chelenalp.ch
57,Spitzsteinhaus,,+43 53 73 83 30,53,1.252,47.70463,12.24388,http://www.spitzsteinhaus.de
58,Neue Prager Hütte,,+43 664 5235220,78,2796,47.123056,12.392222,http://www.neue-prager-huette.at
62,Glungezer-Hütte,,+43 6645311070,48,2610,47.20,11.52,https://www.glungezer-huette.at
63,Ascher Hütte,,+43 660 3424067,26,2256,47.066483,10.504789,https://dav-pfaffenhofen.de/huetten/ascher-huette
64,La Borbuintze,Julien Grand,+41 79 701 81 00,33,1333,46.509920,8.366572,http://www.cas-diablerets.ch/borbuintze
65,Wildstrubelhütte SAC,Maxi Weiner & Konrad Rösti,+41 33 744 33 39,68,2789,46.383,7.469,https://www.wildstrubelhuette.ch
66,Gelmerhütte SAC,Peter Schläppi,+41 33 973 11 80,50,2412,46.631195,8.342758,http://www.gelmerhuette.ch
67,Cabane Barraud,"Préposé : Jean Raymond - Adjoints : Alain Détraz, Sonia Matthey",+41 79 812 33 20,28,1956,46.284576,7.163000,https://www.cas-diablerets.ch/barraud
68,Chalet Lacombe,Karine Vernez Thomas,+41795443152,22,1653,46.388473,7.042996,https://cas-diablerets.ch/cabanes/chalet-lacombe/
69,Rotstockhütte,Simon & Michèle Furrer,+41338552464,43,2039,46.545135,7.838241,https://www.rotstockhuette.ch
72,Bettelwurf-Hütte,,+43 664 2036485,60,2077,47.339,11.507,https://www.bettelwurfhuette.at
73,Höllentalangerhütte,,+49 8821 9438548,120,1387,47.4380,11.02523,https://www.davplus.de/hoellentalangerhuette
75,Schesaplana Hütte,Dal Ponte Hanspeter u. Petra,+41 81 325 11 63,63,1908,47.0442,9.684209,https://www.schesaplana-huette.ch
76,Refuge des Petoudes,"Préposées : Clara Chevalley : +41 77 446 35 85, Olivia Chavaillaz : +41 79 672 14 50",+41 77 446 35 85,9,2169,46.020069,7.011175,https://cas-diablerets.ch/cabanes/refuge-des-petoudes/
77,Mönchsjochhütte,AlpineExperience GmbH - Christina & Yann Roulet - 3995 Ausserbinn VS,+41 33 971 34 72,100,3657,46.554678,8.005589,http://www.moenchsjoch.ch
78,Chamonna Lischana CAS,Christian Wittwer & Evelyne Allenbach,+41 81 864 95 44,49,2500,46.765583,10.334556,https://www.lischanahuette.ch
79,Klostertaler Umwelthütte,,+49891400341,15,2362,46.881097,10.065993,https://www.alpenverein.de/verband/huetten-und-wege/huetten-des-bundesverbands/klostertaler-umwelthuette
80,Silvrettahütte SAC,Marco Brot,+41814221306,69,2341,46.854500,10.041452,https://www.silvrettahuette.ch
81,Blaueishütte,,+498657271,80,1650,47.5868,12.8695,https://www.blaueishuette.de
82,Hallerangerhaus,,0043720347028,73,1768,47.354722,11.477222,https://www.hallerangerhaus.at
83,Fritz-Putz Hütte,,+498362507187,39,1180,47.53806,10.77347,https://www.alpenverein-fuessen.de/huetten/fritz-putz-huette
84,Stöhrhaus,,+49 8652 7233,58,1.894,47.693111,12.980639,https://www.stoehrhaus.de
85,Staufner Haus,,083868255,70,1634,47.491583,10.069167,https://www.staufner-haus.de
86,Frassen-Hütte,,+436641412437,50,1.725,47.185596,9.828919,http://www.alpenverein.at/frassenhuette/
87,Karwendelhaus,,+43 720 983554,140,1765,47.427447,11.421650,https://www.karwendelhaus.com
88,Sarotla-Hütte,,+43 664 1975234,38,1.611,47.104134,9.787181,http://www.sarotlahuette.at
89,Heinrich-Hueter-Hütte,,0043 5556 76570,80,1.766,47.078800,9.783688,http://www.alpenverein.at/heinrichhueterhuette/
90,Freschen-Haus,,+4915117642817,53,1846,47.298512,9.775530,https://www.freschenhaus.at
91,Tilisuna-Hütte,,+43 664 1472896,110,2.211,47.024591,9.872610,http://www.tilisuna-huette.at
92,Totalp-Hütte,,+436642400260,87,2.385,47.052701,9.727139,http://www.totalp.at
95,Kaltenberghütte,,+436649280636,63,2.089,47.0709,10.0836,http://www.kaltenberghuette.at/
96,Neue Reutlinger Hütte,,+497121144860,12,2395,47.07541,10.11565,http://www.dav-reutlingen.de/huetten/neue-reutlinger-huette/
97,Freiburgerhütte,,+436641745042,103,1918,47.162723,9.99041,http://www.freiburger-huette.at/
99,Bergheim Au,,+49171635564 0,65,824,47.318,9.963,https://www.dav-ueberlingen.de/huette-au/
100,Gaudeamushütte,,+43 5358 2262,43,1.263,47.549167,12.324722,https://www.dav-main-spessart.de
101,Saupsdorfer Hütte,,035974 55848,25,285,50.927783,14.335000,http://www.saupsdorfer-huette.de/
103,Neue Heilbronner Hütte,,+43 664 180 4277,104,2320,47.007216,10.138827,https://www.heilbronner-huette.de
104,Rotwandhaus,,+49 8026 3959970,69,1737,47.646250,11.935278,https://www.rotwandhaus.de
105,Berliner Hütte,,+43 664 88 78 70 25,140,2042,47.024515,11.812803,https://www.berlinerhuette.at
106,Goiserer Hütte,,+43 6135 21450,22,1.592,47.37,13.33,http://www.goisererhuette.at
107,Bergsteigerunterkunft Lauschige Ecke,,086529764610,14,600,47.622288,12.976388,http://dav-berchtesgaden.de
108,Gablonzer Hütte,,+4361368465,69,1.550,47.53327,13.47980,https://www.gablonzerhuette.at
109,Zollnersee-Hütte,,00436508209913,32,1.750,46.605,13.070,http://zollnerseehuette.oeav-obergailtal.at/
110,Geraerhütte,,+436645106830,70,2324,47.0236,11.3741,http://www.geraerhuette.at
111,Hofpürgl-Hütte,,+4364538304,70,1.703,47.482214,13.519027,http://www.alpenverein.at/hofpuerglhuette/
114,Alpenrosenhütte im Brixental,,+436607375009,54,1555,47.419968,12.237699,https://www.alpenrosenhuette.at
115,Rüsselsheimer Hütte,,+ 43 5413 203 00,47,2.323,46.994137,10.888199,https://www.ruesselsheimer-huette.de
116,Neue Bamberger Hütte,,+43 6644 559469,74,1.756,47.30904,12.15055,http://alpenverein-bamberg.de/huetten/bamberger-huette/
117,Mödlinger Hütte,,+ 43 3611 21120,50,1.523,47.52,14.55,http://www.alpenverein.at/moedlingerhuette/
119,Olpererhütte,,+436644176566,72,2389,47.04,11.68,https://www.olpererhuette.de
121,Hannoverhaus,,+43 478 421 345,50,2.565,47.040684,13.215527,https://www.alpenverein.de/hannoverhaus
122,Greizer Hütte,,+4366499721169,81,2.227,47.04330,11.8853,https://www.greizerhuette.at
123,Lizumer Hütte,,+43 664 9272117,78,2.019,47.166720,11.640514,http://www.lizumer-huette.at
124,Nürnberger Hütte,,00436641657461,120,2.278 m NHN,46.994374,11.218299,https://www.nuernberger-huette.at   o d e r   www.nuernbergerhuette.at (DAV Sektion Nürnberg)
125,Edelweiss-Hütte am Schneeberg,,0043 2636 3616,25,1.235,47.791762,15,http://www.edelweisshuette.at/
126,Meraner Hütte,,+39 328 434 6659,65,1960,46.683048,11.281955,https://www.meranerhuette.it/
128,Reintalangerhütte,,+4916097503090,91,1370,47.405306,11.035667,https://www.alpenverein-muenchen-oberland.de/reintalangerhuette
129,Neue Magdeburger Hütte,,+43 523888790,50,1633,47.288944,11.296524,http://www.magdeburger-huette.at
130,Hochrieshütte,,+49 8032 8210,39,1569,47.747500,12.248889,https://www.hochrieshuette.de
131,Dessauer Hütte,,+493405710700,30,281,50.897333,14.135762,https://www.dav-dessau.de/huette
132,Clarahütte,,+43 664 9758893,47,2038,47.01,12.14,https://www.virgental.at/unterkuenfte/unterkunft-suche/detail/unterkunft/clarahuette-2038-m/
133,Essener und Rostocker Hütte,,+43 4877 5101,106,2208,47.055000,12.297778,https://www.essener-rostocker-huette.de
135,Capanna Scaletta,Pagani Ilaria +4179 943 68 62,+4191 872 26 28,54,2205,2.715043,1.162932,https://www.satlucomagno.ch/wordpress/capanna-scaletta
136,Richterhütte,,+43524221328,44,2.374,47.123845,12.133851,https://www.richterhuette.com
138,Oberlandhütte,,+4353578113,65,1014,47.37979,12.30752,https://www.alpenverein-muenchen-oberland.de/huetten/alpenvereinshuetten/oberlandhuette
139,Lenggrieser Hütte,,08042 5633096,47,1338,47.65,11.63,https://www.lenggrieserhuette.de
141,Peter-Wiechenthaler-Hütte,,+43 664 9544822,68,1.752,47.463,12.875,http://www.wiechenthaler-huette.at
143,Bremer Hütte,,+43 664 3047360,69,2.413,46.994893,11.263324,https://www.bremerhuette.at
144,Ingolstädter Haus,,+43 720 510 504,109,2119,47.50170,12.88744,https://www.dav-ingolstadt.de
145,Riemannhaus,,0043 6702034373,82,2.177,47.458020,12.914580,https://www.riemannhaus-maria-alm.at
146,Annaberger Haus,,+43 272820459,44,1.377,47.873668,15.421109,http://www.annaberger-haus.at
147,Julius-Seitner-Hütte,,+4367761198729,27,1.185,47.960490,15.441089,http://www.alpenverein.at/juliusseitnerhuette/
148,Gufferthütte,,+43 676 62 92 404,64,1475,47.58,11.79,https://www.gufferthuette.at
149,Knorrhütte,,+4915114443496,116,2051,47.410012,11.012802,https://www.knorrhuette.de
150,Münchner Haus,,+4988212901,10,2959,47.42119,10.98492,https://www.muenchnerhaus.de
151,Watzmannhaus,,+498652964222,160,1930,47.57133,12.93399,https://www.watzmannhaus.de
152,Heinrich-Schwaiger-Haus,,+436646565555,71,2802,47.162783,12.738883,https://www.heinrich-schwaiger-haus.at
154,Gruttenhütte,,+43 5358 43389,90,1.620,47.55363,12.31104,http://www.gruttenhuette.at/
156,Bordierhütte SAC,Nathalie Werlen,+41279561909,44,2886,46.14465,7.84980,http://www.bordierhuette.com
157,Chamanna Jenatsch CAS,Jill Lucas und Daniel Sidler,081 833 29 29,70,2652,46.530168,9.720377,http://www.chamannajenatsch.ch/
159,Salm-Hütte,,+43 4824 2089,50,2.644,47.046972,12.720417,http://www.alpenverein.at/salmhuette/
160,Muttekopf-Hütte,,+43 6641236928,53,1.934,47.26259,10.66983,http://www.muttekopf.at/huette/
161,Berglihütte SAC,Hüttenwart: Christian Nebiker<br> +41 79 753 77 56<br> Hüttenchef: Christoph Sager,+41 79 355 12 60,20,3299,46.566799,8.020535,https://konkordiahuette.ch/index.php/huetten/sac-grindelwald/berglihuette
162,Neue Bonner Hütte,,+43 664 949 24 46,29,1712,47.037222,13.68,https://www.neue-bonner-huette.at
163,Tölzer Hütte am Schafreuter,,+4915174571985,68,1825,47.505092,11.491381,https://www.toelzer-huette.at
164,Wildhornhütte SAC,Regula Bischof und Marco Canova,+41337332382,79,2303,46.37929,7.38801,http://www.wildhornhuette.ch
165,Cufercalhütte SAC,Margrith Monigatti,+41799546571,23,2385,46.593356,9.359021,http://www.cufercal.ch
166,Topalihütte SAC,Anja Bühlmann,+41279562172,38,2674,46.15717,7.76206,https://www.topalihuette.ch
168,Capanna Monte Bar,Serge e James,+41 91 966 33 22,40,1602,46.099995,9.013999,https://capannamontebar.casticino.ch/#
169,Gamshütte,,+436644282969,38,1921,47.130481,11.807152,https://www.gamshuette.at
170,Friesenberghaus,,00436641641933,56,2.498,47.067386,11.702097,https://www.friesenberghaus.at
171,Riffelseehütte,,+43 6643950062,44,2293,46.96112,10.8575,https://www.riffelseehuette.at
172,Anton-Karg-Haus,,+43 5372 62 578,91,829,47.580049,12.277278,https://www.antonkarghaus.at
173,Gepatschhaus,,+43 6604610244,87,1.928,46.901389,10.7375,https://www.gepatschhaus.at
174,Bad Kissinger Hütte,,+43 676 3731166,50,1.788,47.534444,10.562778,http://badkissingerhuette.at
176,Calandahütte SAC,Monika & Beat Gansner,+41 79 363 53 80,29,2073,46.883185,9.482227,http://www.calandahuette.ch
177,Kampthaler-Hütte,,015138500,1,313,48.131607,16.199331,https://www.alpenverein.at/kampthalerhuette/
178,Kasseler Hütte (im Zillertal),,+436644016033,85,2.177,47.06,11.95,https://www.kasselerhuette.de
179,Pfeis-Hütte,,+43 512 552906,60,1.922,47.330036,11.425489,https://www.alpenverein.at/pfeishuette/
180,Furtschaglhaus,,+43 6818 4218751,70,2.295,47.0039,11.7478,http://www.furtschaglhaus.com
181,Brandenburger Haus,,+43 670 6026159,60,3277,46.844450,10.778050,https://www.brandenburgerhaus.at
182,Chamonas d'Ela CAS,Bachmann Reto und Nienke,+41 78 878 98 41,26,2252,46.618768,9.691876,http://www.sac-davos.ch/Sektion/Huetten/Ela-Huette-SAC.aspx
183,Göppinger Hütte,,0043 5583 3540,69,2245,47.214813,10.045557,http://www.goeppinger-huette.at
184,Stripsenjoch-Haus,,+43 664 3559094,126,1.580,47.34,12.18,http://www.stripsenjoch.at
185,Porze-Hütte,,00436643256452,64,1.942,46.659,12.581,https://www.alpenverein.at/porzehuette/
188,Barmer Hütte,,0043 6649489413,38,2.610,46.917220,12.16904,https://www.dav-wuppertal.de/huetten-kletteranlagen/barmer-huette
189,Schwarzwasserhütte,,00000,75,1621,47.331169,10.087352,https://www.schwarzwasserhuette.com
190,Sudetendeutsche Hütte,,+43720347802,47,2.656,47.049352,12.576295,https://www.sudetendeutschehuette.com/
191,Jamtalhütte,,+4354438408,180,2165,46.88676,10.17645,https://www.jamtalhuette.at
192,Stuttgarter Hütte,,+43 6767580250,54,2310,47.18041,10.20460,https://www.alpenverein-schwaben.de/huetten/stuttgarter-huette/
195,Kärlingerhaus,,+4986526019901,160,1631,47.495556,12.937222,https://www.kaerlingerhaus.de
196,Grubenberghütte,Ruedi Hählen,+41 79 642 79 96,23,1840,46.54939,7,https://www.grubenberghuette.ch
197,Capanna Corno-Gries CAS,Thomas Bärlocher & Andrea Baumgartner,+41918691129,46,2338,46.467017,8.409994,http://www.corno-gries.ch
198,Capanna Alzasca CAS,CAS Locarno,091 753 25 15,20,1734,46.271332,8.589253,http://www.capannaalzasca.ch
200,Straubinger Haus,,+43 5375 6429,50,1558,47.620128,12.499493,https://www.straubingerhaus.at
201,Bayreuther Hütte,,00436643425103,54,1576,47.444722,11.820833,https://www.bayreuther-huette.de
202,Nördlinger Hütte,,00436649142262,58,2238,47.320786,11.236693,https://www.noerdlingerhuette.at
203,Karl-von-Edel-Hütte,,+436649154851,60,2238,47.07,11.03,http://www.edelhuette-dav.de
204,Schreckhornhütte SAC,Barbara Roth,0041338551025,56,2530,46.582222,8.098848,https://www.schreckhornhuette.ch
205,Rastkogelhütte,,+43 680 22 57 124,58,2.124,47.232162,11.788416,https://www.rastkogelhuette.de
206,Brochhütte,Schmutz Heidi,+41792590206,43,1499,46.68073,8.13902,http://www.brochhuette.ch
207,Plauener Hütte,,+436504684308,71,2.363,47.118333,12.096111,https://www.plauener-huette.at
208,Almagellerhütte SAC,Anthamatten Gabriel,+41 27 957 11 79,120,2894,46.107616,8.007675,https://almagellerhuette.ch/de/
209,Weissmieshütten SAC,Carla und Roberto Arnold,+41279572554,99,2726,46.143814,7.977938,http://www.weissmieshuette.ch
210,Brünnsteinhaus,,+4980331431,48,1360,47.644600,12.098450,https://www.bruennsteinhaus.de
211,Zeller-Hütte,,06644112717,28,1.575,47.678,14.226,http://www.zellerhuette.at
212,Tutzinger Hütte,,+491751641690,91,1.327,47.657722,11.462417,https://tutzinger-huette.de/
213,Finsteraarhornhütte SAC,Hans & Vreni Winterberger-Lohner,033 855 29 55,116,3048 m. ü. M.,46.52,8.11,http://www.finsteraarhornhuette.ch
214,Windegghütte SAC,Adrienne Thommen Markus Röthlisberger,+41339751110,36,1887,46.69500,8.34803,http://www.windegghuette.ch
215,Landsberger Hütte,,+43 56756282,135,1810,47.4451,10.51438,https://www.landsbergerhuette.at
216,Weidener Hütte,,+4366488109940,56,1799,47.223772,11.708977,https://www.weidener-huette.at
217,Friedrichshafener Hütte,,+436767908056,55,2138,46.994722,10.215833,https://www.dav-fn.de/huetten/Friedrichshafener-Huette
218,Bodenschneidhaus,,+4980264692,48,1365,47.67891,11.84845,https://www.bodenschneidhaus.de
219,Simony-Hütte,,00436802196374,94,2203,47.50,13.62,http://www.simonyhuette.com/home.html
220,Stüdlhütte,,+4348768209,118,2.802,47.05494,12.68159,https://www.alpenverein-muenchen-oberland.de/huetten/alpenvereinshuetten/stuedlhuette
221,Capanna Motterascio CAS,Fabio Merzaghi,+41918721622,70,2172,46.594167,9.0005,https://capannamotterascio.casticino.ch/
222,Biberacher Hütte,,+435519257,70,1846,47.257716,10.028680,https://dav-biberach.de/biberacher-huette
223,Gleiwitzer Hütte,,+4915119029849,45,2176,47.21827,12.76900,https://www.gleiwitzerhuette.at
224,Wanderheim Kreuzmoos,,00497645386,50,725,48.18936,7.97712,https://www.wanderheim-kreuzmoos.de
226,Cabane des Vignettes CAS,Katrien & Alexandre,+41272831322,100,3160,45.989976,7.474725,http://www.cabane-des-vignettes.ch/fr
227,Salbithütte SAC,Walker Richard,+41418851431,56,2105,46.676423,8.551785,http://www.salbit.ch
228,Dammahütte SAC,Andrin Kamber,041 885 17 81,18,2439,46.644864,8.457761,http://www.dammahütte.ch
229,Muttseehütte SAC,Rahel Koller und Cornel Ledergerber (RAC-Hütte.ch GmbH),+41 55 643 32 12,76,2'501,46.857500,9.018750,http://www.muttseehuette.ch
230,Oberetteshütte,,+39 0473 830280,80,2670,46.764801,10.711189,http://www.oberettes.it/
231,Taschachhaus,,+436642009588,154,2434,46.90985,10.81760,https://www.taschachhaus.de
232,Passauer Hütte,,+43 680 50 72 624,50,2051,47.474200,12.750405,https://www.passauer-huette.de
234,Wiesbadener Hütte,,0043 5558 4233,160,2.443,46.8684,10.1161,http://www.wiesbadener-huette.com/
235,Augsburger Hütte,,+43 664 641 16 43,54,2298,47.16,10.49,https://www.augsburgerhuette.at
236,Tübinger Hütte,,+43 690 2007 1605,80,2193,46.911669,10.003486,https://www.tuebinger-huette.de
237,Neue Thüringer Hütte,,+436644273214,71,2240,47.172778,12.383333,https://www.neuethueringerhuette.at/
238,Vernagthütte,,00436647980757,74,2755,46.853611,10.823889,http://www.vernagthuette.de
239,Pforzheimer Hütte,,+4369913294581,53,2308,47.09283,11.04350,https://www.pforzheimerhuette.at
240,Camona da Punteglias CAS,Blöchlinger Ruedi & Brigitta,+41819431936,26,2311,46.77722,8.95607,https://www.punteglias.ch
241,Fergenhütte SAC,Martina & Beat Michel,+41798480825,21,2141,46.86,9.96,https://www.fergenhuette.ch
242,Seetalhütte SAC,Simona & Andreas Bernet,+41765458282,10,2065,46.8739,10.0093,https://www.sac-praettigau.ch/index.php/huetten/seetalhuette
243,Lobhornhütte,Christine Stalder,+41 79 656 53 20,24,1955,46.618478,7.868928,https://lobhornhuette.ch
244,Spannorthütte SAC,Ott Andy,+41416373480,40,1956,46.799824,8.509767,https://www.spannorthuette.ch
246,Ramozhütte SAC,Karin Bächinger,081 356 55 02,23,2293,46.73109,9.64372,https://www.sacarosa.ch
248,Rieder Hütte,,+4369911741087,32,1.765,47.804032,13.676637,https://www.rieder-huette.at
254,Bifertenhütte AACB,Regina Köhle +41 79 568 20 16,+41 81 941 23 36,23,2482,46.814491,9.026486,http://www.biferten.ch
256,DAV-Haus-Spitzingsee,,080269209349,88,1124,47.669957,11.882484,https://www.alpenverein-muenchen-oberland.de/selbstversorgerhuetten/haus-spitzingsee
257,Hochfeilerhütte,,+39 329 1318270,88,2715,46.962,11.7085,http://www.hochfeilerhütte.com
258,Jonsdorfer Hütte,,035844 204878,21,452,50.8513,14.6952,http://dav-zittau.de/index.php?rubrik=H%FCtte%20Jonsdorf&topic=123
259,Voralphütte SAC,Petra Betschart,041 887 04 20,40,2126,46.690552,8.487712,https://www.voralphuette.ch
260,Guttenberg-Haus,,004366499256153,65,2146,47.450945,13.683718,https://www.alpenverein.at/guttenberghaus/index.php
261,Seethalerhütte,,+43368781209,21,2740,47.473614,13.612779,
262,Austria-Hütte,,+436767200021,44,1638,47.4243,13.6001,https://www.alpenverein.at/austriahuette
263,Winteregghütte,Urs Vogt +41 79 915 19 16,+41 79 915 19 16,30,1897,46.460438,7.649975,https://www.sac-biel.ch/huetten/winteregg.php
264,Binntalhütte SAC,Lachat Marie-Claire (RdR),+41 27 971 47 97,50,2265,46.374922,8.291807,https://cabane-binntal.ch/
266,Zittauer Hütte,,+436648732205,59,2.328,47.163473,12.124178,https://www.zittauerhuette.at
267,Wolayersee-Hütte,,+43720346141,64,1.960,46.6124,12.8670,https://www.wolayerseehuette-lesachtal.at
268,Obstansersee-Hütte,,+43 664 932 978 99,60,2304,46.684367,12.493746,https://obstans.jimdo.com/
269,Sewenhütte SAC,Gehrig-Gisler Walti und Ursi,+41 41 885 18 72,58,2150,46.74,08.52,https://www.sewenhuette.ch/
270,Prinz-Luitpoldhaus,,000000000000,160,1846,47.392477,10.420012,https://www.prinz-luitpoldhaus.de
271,Kaunergrathütte,,+43 6643501179,59,2.817,46.993889,10.806944,http://www.kaunergrathuette.at
272,Otto- Mayr-Hütte,,+491604592237,60,1530,47.5931,10.61855,https://www.ottomayrhuette.com
273,Millstätter Hütte,,+4366473633439,24,1.880,46.8483,13.5942,http://www.millstaetterhuette.at
274,Kröntenhütte SAC,Irene Aeberhard & Ueli Arnold,041 880 01 22,76,1903,46.8001,8.57543,https://www.kroentenhuette.com/
275,Neue Regensburger Hütte,,+43 664 202 50 70,101,2286,47.054707,11.198342,https://www.regensburgerhuette.at
